run_id,regime,system,crash_point,endpoint,response_class,readback_keying,execution_id,outcome_class,status,applied_effects,crashed,dispatch_attempts,step_latency_ms,recovery_latency_ms,undetected_duplicate,lost_effect,redis_kill_latency_ms,durability_ack_observed
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r0,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,63ef7c4e-be8a-4cc7-9228-f04e37313503,CONFIRMED_APPLIED,APPLIED,1,1,1,2978.467816,43148.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r0,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,48c4ec98-5786-4a65-b26f-1e592687be7b,CONFIRMED_APPLIED,APPLIED,1,1,1,2423.939309,36636.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r0,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,c88bbaaa-a246-4167-89cd-f27652772ab1,CONFIRMED_APPLIED,APPLIED,1,1,1,2438.104364,31016.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r0,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,807b3f13-e84e-42f2-8bea-e79957ca05f2,CONFIRMED_APPLIED,APPLIED,1,1,1,2493.271086,25037.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r0,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,f10c035b-a7c3-4877-9968-609e341fd1f0,CONFIRMED_APPLIED,APPLIED,1,1,1,2661.700522,19329.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r0,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,2d330f34-c915-42c2-881e-2346d4facc7f,CONFIRMED_APPLIED,APPLIED,1,1,1,2993.643404,43153.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r0,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,a79c03c6-7bd1-44ac-8c31-59eee2f6afe6,CONFIRMED_APPLIED,APPLIED,1,1,1,2435.905636,36625.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r0,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,d35d1ca8-1467-45c1-8169-42da6270ea3c,CONFIRMED_APPLIED,APPLIED,1,1,1,2427.587467,31007.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r0,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,0157225b-9518-4025-8c83-e4cff955186b,CONFIRMED_APPLIED,APPLIED,2,1,2,7476.01408,25050.0,1,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r0,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,c62065e5-fe24-4d08-9215-8597b57b692a,CONFIRMED_APPLIED,APPLIED,2,1,3,9573.897726,14378.0,1,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r1,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,2a71fbe7-af03-4ac3-9393-f072dce4b279,CONFIRMED_APPLIED,APPLIED,1,1,1,3180.515066,80507.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r1,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,636503e4-882f-4e68-b231-3f2d8eb1632a,CONFIRMED_APPLIED,APPLIED,1,1,1,2944.13545,67771.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r1,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,c7cceb0e-9ced-4fd7-a41e-d43604ee516c,CONFIRMED_APPLIED,APPLIED,1,1,1,3471.206098,56067.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r1,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,0f3e8b7e-bccd-4888-bcab-8205a1b7990f,CONFIRMED_APPLIED,APPLIED,1,1,1,3614.478576,39135.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r1,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,162778df-15db-4774-a7a7-d08f5e90984b,CONFIRMED_APPLIED,APPLIED,1,1,1,3952.667183,23380.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r1,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,d4d84056-8af5-48bb-87d0-44f4b5f6ae2b,CONFIRMED_APPLIED,APPLIED,1,1,1,3134.535148,80489.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r1,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,f929cffb-aef5-4e80-b1b4-f25ef73660bc,CONFIRMED_APPLIED,APPLIED,1,1,1,2982.246974,67820.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r1,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,5a6446b3-171d-473f-a280-a2ba1f29acfc,CONFIRMED_APPLIED,APPLIED,2,1,2,8431.036582,56037.0,1,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r1,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,0b63f6bb-c0aa-4f43-8d00-ea20cf9b277a,CONFIRMED_APPLIED,APPLIED,2,1,3,10692.82992,34141.0,1,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r1,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,5f14164d-385e-42b1-8552-5241757cec91,CONFIRMED_APPLIED,APPLIED,1,1,1,3347.801933,11208.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r2,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,c6042057-8df6-45b4-81e3-d7b452d6191a,CONFIRMED_APPLIED,APPLIED,1,1,1,3558.109156,227580.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r2,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,a6f300e3-0c3e-4215-ba42-1a4621239a90,CONFIRMED_APPLIED,APPLIED,1,1,1,3519.401534,217092.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r2,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,2f4d7339-17c0-453d-9829-8e99d3576c6a,CONFIRMED_APPLIED,APPLIED,1,1,1,3186.66302,202674.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r2,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,f74fde56-d09d-4ce6-9be3-d22842d1d405,CONFIRMED_APPLIED,APPLIED,1,1,1,6629.819479,191703.0,0,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r2,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,2b87e3cb-5f9c-484a-b80f-23b1e433817e,CONFIRMED_APPLIED,APPLIED,2,1,2,22908.631482,173180.0,1,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r2,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,4297a0f8-5fde-4891-ab45-78cfc28c1927,CONFIRMED_APPLIED,APPLIED,2,1,2,8498.558819,227599.0,1,0,,
b0_naive_retry-after_barrier_before_dispatch-ledger_postings-73c409e9-r2,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,ledger_postings,NO_READBACK,CALLER_REFERENCE,e71fa4fb-15a7-4848-bc18-39ece8b25d94,CONFIRMED_APPLIED,APPLIED,2,1,2,8175.716649,212124.0,1,0,,
