metric,regime,system,crash_point,response_class,readback_keying,successes,total,rate,runs,ci_low,ci_high,resamples,bootstrap_seed,clusters,observations
undetected_duplicate_rate,redis-kill-preack,AEP_FULL,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,6,0.0,6,0.0,0.0,10000,20260806,6,6
known_ambiguity_rate,redis-kill-preack,AEP_FULL,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,6,0.0,6,0.0,0.0,10000,20260806,6,6
lost_effect_rate,redis-kill-preack,AEP_FULL,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,6,0.0,6,0.0,0.0,10000,20260806,6,6
unverified_failure_rate,redis-kill-preack,AEP_FULL,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,6,0.0,6,0.0,0.0,10000,20260806,6,6
state_corruption_rate,redis-kill-preack,AEP_FULL,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,6,0.0,6,0.0,0.0,10000,20260806,6,6
recovery_success_rate,redis-kill-preack,AEP_FULL,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,6,0.0,0.0,0,20260806,6,0
undetected_duplicate_rate,redis-kill-preack,AEP_FULL,none,NO_READBACK,CALLER_REFERENCE,0,7,0.0,7,0.0,0.0,10000,20260806,7,7
known_ambiguity_rate,redis-kill-preack,AEP_FULL,none,NO_READBACK,CALLER_REFERENCE,7,7,1.0,7,1.0,1.0,10000,20260806,7,7
lost_effect_rate,redis-kill-preack,AEP_FULL,none,NO_READBACK,CALLER_REFERENCE,0,7,0.0,7,0.0,0.0,10000,20260806,7,7
unverified_failure_rate,redis-kill-preack,AEP_FULL,none,NO_READBACK,CALLER_REFERENCE,0,7,0.0,7,0.0,0.0,10000,20260806,7,7
state_corruption_rate,redis-kill-preack,AEP_FULL,none,NO_READBACK,CALLER_REFERENCE,0,7,0.0,7,0.0,0.0,10000,20260806,7,7
recovery_success_rate,redis-kill-preack,AEP_FULL,none,NO_READBACK,CALLER_REFERENCE,0,0,0.0,7,0.0,0.0,0,20260806,7,0
undetected_duplicate_rate,redis-kill-preack,B3_INTENT_NO_BARRIER,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,6,0.0,6,0.0,0.0,10000,20260806,6,6
known_ambiguity_rate,redis-kill-preack,B3_INTENT_NO_BARRIER,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,6,0.0,6,0.0,0.0,10000,20260806,6,6
lost_effect_rate,redis-kill-preack,B3_INTENT_NO_BARRIER,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,6,0.0,6,0.0,0.0,10000,20260806,6,6
unverified_failure_rate,redis-kill-preack,B3_INTENT_NO_BARRIER,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,6,0.0,6,0.0,0.0,10000,20260806,6,6
state_corruption_rate,redis-kill-preack,B3_INTENT_NO_BARRIER,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,6,0.0,6,0.0,0.0,10000,20260806,6,6
recovery_success_rate,redis-kill-preack,B3_INTENT_NO_BARRIER,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,6,0.0,0.0,0,20260806,6,0
undetected_duplicate_rate,redis-kill-preack,B3_INTENT_NO_BARRIER,none,NO_READBACK,CALLER_REFERENCE,0,6,0.0,6,0.0,0.0,10000,20260806,6,6
known_ambiguity_rate,redis-kill-preack,B3_INTENT_NO_BARRIER,none,NO_READBACK,CALLER_REFERENCE,6,6,1.0,6,1.0,1.0,10000,20260806,6,6
lost_effect_rate,redis-kill-preack,B3_INTENT_NO_BARRIER,none,NO_READBACK,CALLER_REFERENCE,0,6,0.0,6,0.0,0.0,10000,20260806,6,6
unverified_failure_rate,redis-kill-preack,B3_INTENT_NO_BARRIER,none,NO_READBACK,CALLER_REFERENCE,0,6,0.0,6,0.0,0.0,10000,20260806,6,6
state_corruption_rate,redis-kill-preack,B3_INTENT_NO_BARRIER,none,NO_READBACK,CALLER_REFERENCE,0,6,0.0,6,0.0,0.0,10000,20260806,6,6
recovery_success_rate,redis-kill-preack,B3_INTENT_NO_BARRIER,none,NO_READBACK,CALLER_REFERENCE,0,0,0.0,6,0.0,0.0,0,20260806,6,0
