regime,metric,system,reference,system_successes,system_total,system_rate,reference_successes,reference_total,reference_rate,fisher_p_value,system_runs,reference_runs,fisher_unit,difference_rate,difference_ci_low,difference_ci_high,difference_confidence,difference_method,difference_strata,system_clusters,reference_clusters,equivalence_margin,equivalent_within_margin,equivalence_margin_preregistered
p0,undetected_duplicate_rate,B0_NAIVE_RETRY,AEP_FULL,22,150,0.14666666666666667,0,150,0.0,2.0786916986172997e-07,15,15,execution (cluster-unadjusted),,,,,,,,,,,
p0,undetected_duplicate_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,150,0.0,0,150,0.0,1.0,15,15,execution (cluster-unadjusted),,,,,,,,,,,
p0,known_ambiguity_rate,B0_NAIVE_RETRY,AEP_FULL,0,150,0.0,0,150,0.0,1.0,15,15,execution (cluster-unadjusted),0.0,0.0,0.0,0.9,stratified run-cluster percentile bootstrap,1,15,15,0.05,True,False
p0,known_ambiguity_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,150,0.0,0,150,0.0,1.0,15,15,execution (cluster-unadjusted),0.0,0.0,0.0,0.9,stratified run-cluster percentile bootstrap,1,15,15,0.05,True,False
p0,lost_effect_rate,B0_NAIVE_RETRY,AEP_FULL,1,150,0.006666666666666667,0,150,0.0,1.0,15,15,execution (cluster-unadjusted),,,,,,,,,,,
p0,lost_effect_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,150,0.0,0,150,0.0,1.0,15,15,execution (cluster-unadjusted),,,,,,,,,,,
p0,unverified_failure_rate,B0_NAIVE_RETRY,AEP_FULL,1,150,0.006666666666666667,0,150,0.0,1.0,15,15,execution (cluster-unadjusted),,,,,,,,,,,
p0,unverified_failure_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,150,0.0,0,150,0.0,1.0,15,15,execution (cluster-unadjusted),,,,,,,,,,,
p0,state_corruption_rate,B0_NAIVE_RETRY,AEP_FULL,0,150,0.0,0,150,0.0,1.0,15,15,execution (cluster-unadjusted),,,,,,,,,,,
p0,state_corruption_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,150,0.0,0,150,0.0,1.0,15,15,execution (cluster-unadjusted),,,,,,,,,,,
p0,recovery_success_rate,B0_NAIVE_RETRY,AEP_FULL,0,0,0.0,0,0,0.0,1.0,0,15,execution (cluster-unadjusted),,,,,,,,,,,
p0,recovery_success_rate,B3_INTENT_NO_BARRIER,AEP_FULL,0,0,0.0,0,0,0.0,1.0,15,15,execution (cluster-unadjusted),,,,,,,,,,,
