regime,system,crash_point,response_class,readback_keying,runs
(session-3),AEP_FULL,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,after_intent_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,after_intent_before_barrier,NO_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,after_intent_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,after_resolution_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,after_resolution_before_barrier,NO_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,after_response_before_resolution,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,after_response_before_resolution,NO_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,after_response_before_resolution,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,before_intent_write,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,before_intent_write,NO_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,before_intent_write,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,mid_dispatch,NO_READBACK,CALLER_REFERENCE,3
(session-3),AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,3
(session-3),B0_NAIVE_RETRY,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B0_NAIVE_RETRY,after_resolution_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B0_NAIVE_RETRY,after_resolution_before_barrier,NO_READBACK,CALLER_REFERENCE,3
(session-3),B0_NAIVE_RETRY,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B0_NAIVE_RETRY,after_response_before_resolution,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B0_NAIVE_RETRY,after_response_before_resolution,NO_READBACK,CALLER_REFERENCE,3
(session-3),B0_NAIVE_RETRY,after_response_before_resolution,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B0_NAIVE_RETRY,before_intent_write,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B0_NAIVE_RETRY,before_intent_write,NO_READBACK,CALLER_REFERENCE,3
(session-3),B0_NAIVE_RETRY,before_intent_write,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B0_NAIVE_RETRY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B0_NAIVE_RETRY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,3
(session-3),B0_NAIVE_RETRY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B1_LEASE_ONLY,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B1_LEASE_ONLY,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,3
(session-3),B1_LEASE_ONLY,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B1_LEASE_ONLY,after_resolution_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B1_LEASE_ONLY,after_resolution_before_barrier,NO_READBACK,CALLER_REFERENCE,3
(session-3),B1_LEASE_ONLY,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,3
(session-3),B1_LEASE_ONLY,after_response_before_resolution,AUTHORITATIVE_READBACK,CALLER_REFERENCE,3
(session-3),B1_LEASE_ONLY,after_response_before_resolution,NO_READBACK,CALLER_REFERENCE,3
