run_id,regime,system,crash_point,endpoint,response_class,readback_keying,execution_id,outcome_class,status,applied_effects,crashed,dispatch_attempts,step_latency_ms,recovery_latency_ms,undetected_duplicate,lost_effect,redis_kill_latency_ms,durability_ack_observed
aep_full-after_resolution_before_barrier-ledger_postings-318d0a3a-r0,crashed,AEP_FULL,after_resolution_before_barrier,ledger_postings,NO_READBACK,CALLER_REFERENCE,b6e444ea-9811-4ba6-99f4-a60bcc7d79fd,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,1,0,,60311.0,0,0,,1
aep_full-after_resolution_before_barrier-ledger_postings-318d0a3a-r0,crashed,AEP_FULL,after_resolution_before_barrier,ledger_postings,NO_READBACK,CALLER_REFERENCE,5316033b-ccaa-4004-9036-5a112cde00ea,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,1,0,,47462.0,0,0,,1
aep_full-after_resolution_before_barrier-ledger_postings-318d0a3a-r0,crashed,AEP_FULL,after_resolution_before_barrier,ledger_postings,NO_READBACK,CALLER_REFERENCE,4f7b97fb-bb7f-47b6-90ab-162852a5cc92,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,1,0,,41323.0,0,0,,1
aep_full-after_resolution_before_barrier-ledger_postings-318d0a3a-r0,crashed,AEP_FULL,after_resolution_before_barrier,ledger_postings,NO_READBACK,CALLER_REFERENCE,9c80c28c-f680-469a-99b4-69b80128dee9,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,1,0,,30453.0,0,0,,1
aep_full-after_resolution_before_barrier-ledger_postings-318d0a3a-r0,crashed,AEP_FULL,after_resolution_before_barrier,ledger_postings,NO_READBACK,CALLER_REFERENCE,bf4884f2-79ac-413e-bd97-20a571d00ba0,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,1,0,,21415.0,0,0,,1
aep_full-after_resolution_before_barrier-ledger_postings-318d0a3a-r0,crashed,AEP_FULL,after_resolution_before_barrier,ledger_postings,NO_READBACK,CALLER_REFERENCE,a24e11b0-5d3b-4d84-973b-e221fc8bb17b,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,1,0,,64253.0,0,0,,1
aep_full-after_resolution_before_barrier-ledger_postings-318d0a3a-r0,crashed,AEP_FULL,after_resolution_before_barrier,ledger_postings,NO_READBACK,CALLER_REFERENCE,4503676b-9f27-48c5-994b-b0e686ec61e0,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,1,0,,58450.0,0,0,,1
aep_full-after_resolution_before_barrier-ledger_postings-318d0a3a-r0,crashed,AEP_FULL,after_resolution_before_barrier,ledger_postings,NO_READBACK,CALLER_REFERENCE,44b5941c-bd7e-4feb-a10c-adb8c7dc70ed,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,1,0,,48573.0,0,0,,1
aep_full-after_resolution_before_barrier-ledger_postings-318d0a3a-r0,crashed,AEP_FULL,after_resolution_before_barrier,ledger_postings,NO_READBACK,CALLER_REFERENCE,0f0243c9-7bb9-48ad-a6fd-28adf8c8edf2,CONFIRMED_APPLIED,FIRED_CONFIRMED,1,1,0,,42432.0,0,0,,1
aep_full-after_resolution_before_barrier-ledger_postings-318d0a3a-r0,crashed,AEP_FULL,after_resolution_before_barrier,ledger_postings,NO_READBACK,CALLER_REFERENCE,e22b38f9-3921-4ef1-b7c9-4b19e913fc33,CONFIRMED_NOT_APPLIED,FAILED_CONFIRMED,0,0,0,,,0,0,,0
