run_id,regime,system,crash_point,endpoint,response_class,readback_keying,execution_id,outcome_class,status,applied_effects,crashed,dispatch_attempts,step_latency_ms,recovery_latency_ms,undetected_duplicate,lost_effect,redis_kill_latency_ms,durability_ack_observed
aep_full-none-ledger_postings-45c69391-r0,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,a64fb951-e46b-4b02-833e-5e021dd66185,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,526.727,
aep_full-none-ledger_postings-45c69391-r1,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,1edfe7c3-0966-4507-a3ac-646cf0c7fd2c,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,477.618,
aep_full-none-ledger_postings-45c69391-r10,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,e9b631d6-11e5-4e74-8c47-6b8e23f28491,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,378.421,
aep_full-none-ledger_postings-45c69391-r11,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,3afb3ae7-dd45-4900-afc7-1e95c02c260f,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,351.48,
aep_full-none-ledger_postings-45c69391-r12,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,7615b14a-3a7f-4b9c-b8bd-f5e3189944ba,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,385.167,
aep_full-none-ledger_postings-45c69391-r13,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,76569747-4813-4857-a681-a5da6d0df943,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,346.274,
aep_full-none-ledger_postings-45c69391-r14,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,bfe33cf2-6f0d-40d7-ac70-769d5923e82e,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,306.936,
aep_full-none-ledger_postings-45c69391-r15,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,43dd88d9-4cc6-4c98-bf95-7ccbc13bbaab,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,351.55,
aep_full-none-ledger_postings-45c69391-r16,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,65721c51-740b-44ef-9580-4e5db0b7f1ac,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,304.431,
aep_full-none-ledger_postings-45c69391-r17,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,312b7fd5-38bd-4883-b92f-35ef567cacf6,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,357.253,
aep_full-none-ledger_postings-45c69391-r18,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,ed213f00-f252-4d28-a2f2-b9af01d1cfe7,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,413.68,
aep_full-none-ledger_postings-45c69391-r19,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,490e7cd5-1452-4e03-88b3-22425208ab4f,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,338.382,
aep_full-none-ledger_postings-45c69391-r2,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,b0ed27ad-48f9-46b7-8339-7d9d9692c17b,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,439.015,
aep_full-none-ledger_postings-45c69391-r20,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,14ff6ae4-0c2e-40be-82e3-9d3d513bcb9f,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,353.313,
aep_full-none-ledger_postings-45c69391-r21,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,56c9da4b-d11b-4847-9590-a0182af1c2e1,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,366.031,
aep_full-none-ledger_postings-45c69391-r22,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,5e0f95fd-55c9-4ce3-a7ee-79b53d06a80a,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,344.61,
aep_full-none-ledger_postings-45c69391-r23,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,feb2ae12-8eb0-4c1d-b2ae-8aa413ae2fc4,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,320.159,
aep_full-none-ledger_postings-45c69391-r24,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,813aec78-c989-48ed-a00b-364cbb8a1278,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,431.791,
aep_full-none-ledger_postings-45c69391-r25,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,d9c36a7a-bdb0-4da0-a52c-2b4943f318e3,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,356.678,
aep_full-none-ledger_postings-45c69391-r26,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,1f981656-2b41-4067-8d82-5017863ceb20,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,340.635,
aep_full-none-ledger_postings-45c69391-r27,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,66ff4039-0585-4715-8aaf-06bfe8ea9ebe,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,325.553,
aep_full-none-ledger_postings-45c69391-r28,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,95676368-b6f7-44f2-a80e-64ea8e05da41,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,352.905,
aep_full-none-ledger_postings-45c69391-r29,redis-kill-preack,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,f894527a-59a8-42ca-b5d3-760ee60c8cb7,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,404.549,
