run_id,regime,system,crash_point,endpoint,response_class,readback_keying,execution_id,outcome_class,status,applied_effects,crashed,dispatch_attempts,step_latency_ms,recovery_latency_ms,undetected_duplicate,lost_effect,redis_kill_latency_ms,durability_ack_observed
aep_full-none-ledger_postings-8f8aef74-r0,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,6b5172ea-018f-4208-99dd-58de2fc9668d,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,370.151,1
aep_full-none-ledger_postings-8f8aef74-r1,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,b25f7388-be07-48c6-a1be-9f45f2cdb63a,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,357.564,1
aep_full-none-ledger_postings-8f8aef74-r10,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,ce360cd0-7393-4bda-ad86-be12d9b93533,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,402.338,1
aep_full-none-ledger_postings-8f8aef74-r11,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,de5fce77-9b30-49bd-bf9b-e27e15cef7e0,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,473.709,1
aep_full-none-ledger_postings-8f8aef74-r12,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,03965d68-06de-4762-a953-cd93c9987f74,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,431.371,1
aep_full-none-ledger_postings-8f8aef74-r13,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,09e68238-317b-41e3-bbf5-4f5f689c9f94,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,351.166,1
aep_full-none-ledger_postings-8f8aef74-r14,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,c22457d1-2bbf-48a8-87cb-c0192724288e,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,358.681,1
aep_full-none-ledger_postings-8f8aef74-r15,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,5b4bb8b9-6568-4866-93bd-d2bf94de02d8,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,301.96,1
aep_full-none-ledger_postings-8f8aef74-r16,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,68026b6d-dd62-4b89-af74-dd5e72fab9b5,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,339.897,1
aep_full-none-ledger_postings-8f8aef74-r17,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,912a7324-fe1b-4246-8576-abe892236a80,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,374.476,1
aep_full-none-ledger_postings-8f8aef74-r18,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,3c1ba54a-c88d-449d-9dda-0d8748de1457,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,342.786,1
aep_full-none-ledger_postings-8f8aef74-r19,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,0d945209-1f47-4510-a6e3-a563a4ad5ce2,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,371.348,1
aep_full-none-ledger_postings-8f8aef74-r2,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,55c924cc-f63e-4f12-a569-2f96deea0de8,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,346.375,1
aep_full-none-ledger_postings-8f8aef74-r20,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,ab7c07a7-b8ed-4d56-85de-a9f3e24d5a95,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,282.588,1
aep_full-none-ledger_postings-8f8aef74-r21,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,4d047cde-f221-4862-b133-d7c64cc47799,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,0,0,,,0,0,315.729,1
aep_full-none-ledger_postings-8f8aef74-r22,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,9a8a0bef-7204-469b-afaa-03ad60b3dc01,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,354.253,1
aep_full-none-ledger_postings-8f8aef74-r23,redis-kill-inflight,AEP_FULL,none,ledger_postings,NO_READBACK,CALLER_REFERENCE,1cf44d46-e20d-485d-8aa4-4b7d2bd87cbb,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,1,0,0,,,0,0,311.616,1
