metric,dataset_version,redis_durability,regime,system,crash_point,response_class,readback_keying,successes,total,rate,runs,ci_low,ci_high,resamples,bootstrap_seed,clusters,observations
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,30,30,1.0,3,1.0,1.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,30,30,1.0,3,1.0,1.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,after_intent_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,after_intent_before_barrier,NO_READBACK,CALLER_REFERENCE,30,30,1.0,3,1.0,1.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,after_intent_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,30,30,1.0,3,1.0,1.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,after_resolution_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,after_resolution_before_barrier,NO_READBACK,CALLER_REFERENCE,10,30,0.3333333333333333,3,0.0,0.6,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,2,30,0.06666666666666667,3,0.0,0.1,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,after_response_before_resolution,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,after_response_before_resolution,NO_READBACK,CALLER_REFERENCE,30,30,1.0,3,1.0,1.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,after_response_before_resolution,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,1,30,0.03333333333333333,3,0.0,0.1,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,before_intent_write,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,before_intent_write,NO_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,before_intent_write,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,mid_dispatch,NO_READBACK,CALLER_REFERENCE,30,30,1.0,3,1.0,1.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,NO_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B0_NAIVE_RETRY,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B0_NAIVE_RETRY,after_resolution_before_barrier,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B0_NAIVE_RETRY,after_resolution_before_barrier,NO_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B0_NAIVE_RETRY,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B0_NAIVE_RETRY,after_response_before_resolution,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
known_ambiguity_rate,stage3-2026-08-13-replication-1,everysec,crashed,B0_NAIVE_RETRY,after_response_before_resolution,NO_READBACK,CALLER_REFERENCE,0,30,0.0,3,0.0,0.0,10000,20260806,3,30
