dataset_version,regime,system,endpoint,response_class,crash_point,readback_keying,redis_durability,redis_version,redis_image,run_id,seed,execution_count,inclusion_status,git_sha,experiment_plan_sha256,source_raw_directory_hash
stage3-2026-08-13-replication-1,crashed,AEP_FULL,ledger_postings,NO_READBACK,after_barrier_before_dispatch,CALLER_REFERENCE,everysec,7.2.5,redis:7.2.5-alpine@sha256:6aaf3f5e6bc8a592fbfe2cccf19eb36d27c39d12dab4f4b01556b7449e7b1f44,aep_full-after_barrier_before_dispatch-ledger_postings-b890c47d-r0,1960949317,10,included,dc954af1a07d43470ddfdaf63206b96f18bfcd1e,ce36b784b54f312ba880c586df73ae47a27bcca6224a05b5560d52955c92e7a0,473fb9847c567722df3a71f2b08d78135dd1ee3bc5dd260d7b12fd62cfd38351
stage3-2026-08-13-replication-1,crashed,AEP_FULL,ledger_postings,NO_READBACK,after_barrier_before_dispatch,CALLER_REFERENCE,everysec,7.2.5,redis:7.2.5-alpine@sha256:6aaf3f5e6bc8a592fbfe2cccf19eb36d27c39d12dab4f4b01556b7449e7b1f44,aep_full-after_barrier_before_dispatch-ledger_postings-b890c47d-r1,161101836,10,included,dc954af1a07d43470ddfdaf63206b96f18bfcd1e,ce36b784b54f312ba880c586df73ae47a27bcca6224a05b5560d52955c92e7a0,bb43732d26254d13f9d3cc9fce02fd5c4d22514510e8dc77723e9d482a72c3ae
stage3-2026-08-13-replication-1,crashed,AEP_FULL,ledger_postings,NO_READBACK,after_barrier_before_dispatch,CALLER_REFERENCE,everysec,7.2.5,redis:7.2.5-alpine@sha256:6aaf3f5e6bc8a592fbfe2cccf19eb36d27c39d12dab4f4b01556b7449e7b1f44,aep_full-after_barrier_before_dispatch-ledger_postings-b890c47d-r2,1783998331,10,included,dc954af1a07d43470ddfdaf63206b96f18bfcd1e,ce36b784b54f312ba880c586df73ae47a27bcca6224a05b5560d52955c92e7a0,cd15b4cdee4d55faae1d417f821708bb8583df3ec11b763eae7797ea0ce611f1
stage3-2026-08-13-replication-1,crashed,AEP_FULL,notifications,POSITIVE_ONLY_READBACK,after_barrier_before_dispatch,CALLER_REFERENCE,everysec,7.2.5,redis:7.2.5-alpine@sha256:6aaf3f5e6bc8a592fbfe2cccf19eb36d27c39d12dab4f4b01556b7449e7b1f44,aep_full-after_barrier_before_dispatch-notifications-283a53b7-r0,487175073,10,included,dc954af1a07d43470ddfdaf63206b96f18bfcd1e,ce36b784b54f312ba880c586df73ae47a27bcca6224a05b5560d52955c92e7a0,a7eb1f7b3bdd71b490ce3c5d04ded5b250990f41b7edf80ca5fb0657ec7d9796
stage3-2026-08-13-replication-1,crashed,AEP_FULL,notifications,POSITIVE_ONLY_READBACK,after_barrier_before_dispatch,CALLER_REFERENCE,everysec,7.2.5,redis:7.2.5-alpine@sha256:6aaf3f5e6bc8a592fbfe2cccf19eb36d27c39d12dab4f4b01556b7449e7b1f44,aep_full-after_barrier_before_dispatch-notifications-283a53b7-r1,133595717,10,included,dc954af1a07d43470ddfdaf63206b96f18bfcd1e,ce36b784b54f312ba880c586df73ae47a27bcca6224a05b5560d52955c92e7a0,3eb7a5ff879caa34e2a26390cee2574606e07e274c0c1ae72dff1ea47cb34ba0
stage3-2026-08-13-replication-1,crashed,AEP_FULL,notifications,POSITIVE_ONLY_READBACK,after_barrier_before_dispatch,CALLER_REFERENCE,everysec,7.2.5,redis:7.2.5-alpine@sha256:6aaf3f5e6bc8a592fbfe2cccf19eb36d27c39d12dab4f4b01556b7449e7b1f44,aep_full-after_barrier_before_dispatch-notifications-283a53b7-r2,1573256709,10,included,dc954af1a07d43470ddfdaf63206b96f18bfcd1e,ce36b784b54f312ba880c586df73ae47a27bcca6224a05b5560d52955c92e7a0,677fdfdd4e24174e395e993d441813dfa22b5aeec224aac1d3eae59707274191
stage3-2026-08-13-replication-1,crashed,AEP_FULL,payments,AUTHORITATIVE_READBACK,after_barrier_before_dispatch,CALLER_REFERENCE,everysec,7.2.5,redis:7.2.5-alpine@sha256:6aaf3f5e6bc8a592fbfe2cccf19eb36d27c39d12dab4f4b01556b7449e7b1f44,aep_full-after_barrier_before_dispatch-payments-59673812-r0,2109461321,10,included,dc954af1a07d43470ddfdaf63206b96f18bfcd1e,ce36b784b54f312ba880c586df73ae47a27bcca6224a05b5560d52955c92e7a0,7d9f624805cde472d4016cf7db7160742455432b834ed68b2c0eac008f20dcd3
stage3-2026-08-13-replication-1,crashed,AEP_FULL,payments,AUTHORITATIVE_READBACK,after_barrier_before_dispatch,CALLER_REFERENCE,everysec,7.2.5,redis:7.2.5-alpine@sha256:6aaf3f5e6bc8a592fbfe2cccf19eb36d27c39d12dab4f4b01556b7449e7b1f44,aep_full-after_barrier_before_dispatch-payments-59673812-r1,380243332,10,included,dc954af1a07d43470ddfdaf63206b96f18bfcd1e,ce36b784b54f312ba880c586df73ae47a27bcca6224a05b5560d52955c92e7a0,9e9855aa87b53743f9bd229a3470916753a32749b943edf63abfb13ce13d88e8
stage3-2026-08-13-replication-1,crashed,AEP_FULL,payments,AUTHORITATIVE_READBACK,after_barrier_before_dispatch,CALLER_REFERENCE,everysec,7.2.5,redis:7.2.5-alpine@sha256:6aaf3f5e6bc8a592fbfe2cccf19eb36d27c39d12dab4f4b01556b7449e7b1f44,aep_full-after_barrier_before_dispatch-payments-59673812-r2,1724199447,10,included,dc954af1a07d43470ddfdaf63206b96f18bfcd1e,ce36b784b54f312ba880c586df73ae47a27bcca6224a05b5560d52955c92e7a0,5601cb676574f23b2c4056c4771f373930080da3216a9a0ffeae71c798fff0fe
stage3-2026-08-13-replication-1,crashed,AEP_FULL,ledger_postings,NO_READBACK,after_intent_before_barrier,CALLER_REFERENCE,everysec,7.2.5,redis:7.2.5-alpine@sha256:6aaf3f5e6bc8a592fbfe2cccf19eb36d27c39d12dab4f4b01556b7449e7b1f44,aep_full-after_intent_before_barrier-ledger_postings-f1b0f955-r0,368247355,10,included,dc954af1a07d43470ddfdaf63206b96f18bfcd1e,ce36b784b54f312ba880c586df73ae47a27bcca6224a05b5560d52955c92e7a0,135fc5ecd6053661735ec5c55d1496358479f4e64d23e4a26fafb50961eb290b
stage3-2026-08-13-replication-1,crashed,AEP_FULL,ledger_postings,NO_READBACK,after_intent_before_barrier,CALLER_REFERENCE,everysec,7.2.5,redis:7.2.5-alpine@sha256:6aaf3f5e6bc8a592fbfe2cccf19eb36d27c39d12dab4f4b01556b7449e7b1f44,aep_full-after_intent_before_barrier-ledger_postings-f1b0f955-r1,694217576,10,included,dc954af1a07d43470ddfdaf63206b96f18bfcd1e,ce36b784b54f312ba880c586df73ae47a27bcca6224a05b5560d52955c92e7a0,840bbfa7af98f14002c3066d4e7a5af7ab5256b5886aa19ef63d4c8c8461c9e8
stage3-2026-08-13-replication-1,crashed,AEP_FULL,ledger_postings,NO_READBACK,after_intent_before_barrier,CALLER_REFERENCE,everysec,7.2.5,redis:7.2.5-alpine@sha256:6aaf3f5e6bc8a592fbfe2cccf19eb36d27c39d12dab4f4b01556b7449e7b1f44,aep_full-after_intent_before_barrier-ledger_postings-f1b0f955-r2,1692348031,10,included,dc954af1a07d43470ddfdaf63206b96f18bfcd1e,ce36b784b54f312ba880c586df73ae47a27bcca6224a05b5560d52955c92e7a0,235d5142eeae3e8b1ad866fe1a7697e785d12ac020ffc6d246e1ce21fb3bf990
stage3-2026-08-13-replication-1,crashed,AEP_FULL,notifications,POSITIVE_ONLY_READBACK,after_intent_before_barrier,CALLER_REFERENCE,everysec,7.2.5,redis:7.2.5-alpine@sha256:6aaf3f5e6bc8a592fbfe2cccf19eb36d27c39d12dab4f4b01556b7449e7b1f44,aep_full-after_intent_before_barrier-notifications-5b685744-r0,1949179822,10,included,dc954af1a07d43470ddfdaf63206b96f18bfcd1e,ce36b784b54f312ba880c586df73ae47a27bcca6224a05b5560d52955c92e7a0,3eb26c554acaebd314b1327c6c7328334b9ff15ee4da580deb6d16a474a0a2d5
stage3-2026-08-13-replication-1,crashed,AEP_FULL,notifications,POSITIVE_ONLY_READBACK,after_intent_before_barrier,CALLER_REFERENCE,everysec,7.2.5,redis:7.2.5-alpine@sha256:6aaf3f5e6bc8a592fbfe2cccf19eb36d27c39d12dab4f4b01556b7449e7b1f44,aep_full-after_intent_before_barrier-notifications-5b685744-r1,1871547492,10,included,dc954af1a07d43470ddfdaf63206b96f18bfcd1e,ce36b784b54f312ba880c586df73ae47a27bcca6224a05b5560d52955c92e7a0,4ce872884098fb82059ed830741afd67d00dbd0c061dbd7b6b6cb6a2a567de70
stage3-2026-08-13-replication-1,crashed,AEP_FULL,notifications,POSITIVE_ONLY_READBACK,after_intent_before_barrier,CALLER_REFERENCE,everysec,7.2.5,redis:7.2.5-alpine@sha256:6aaf3f5e6bc8a592fbfe2cccf19eb36d27c39d12dab4f4b01556b7449e7b1f44,aep_full-after_intent_before_barrier-notifications-5b685744-r2,1876883549,10,included,dc954af1a07d43470ddfdaf63206b96f18bfcd1e,ce36b784b54f312ba880c586df73ae47a27bcca6224a05b5560d52955c92e7a0,647410e316036ec7dc7e6de361532aeaa797f3b1411424c693d36c64d09e79d8
