metric,regime,system,crash_point,response_class,readback_keying,successes,total,rate,runs,ci_low,ci_high,resamples,bootstrap_seed,clusters,observations
undetected_duplicate_rate,p0,AEP_FULL,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
known_ambiguity_rate,p0,AEP_FULL,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,p0,AEP_FULL,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
unverified_failure_rate,p0,AEP_FULL,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
state_corruption_rate,p0,AEP_FULL,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p0,AEP_FULL,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,15,0.0,0.0,0,20260806,15,0
undetected_duplicate_rate,p0,B0_NAIVE_RETRY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,22,150,0.14666666666666667,15,0.09333333333333334,0.20666666666666667,10000,20260806,15,150
known_ambiguity_rate,p0,B0_NAIVE_RETRY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,p0,B0_NAIVE_RETRY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,1,150,0.006666666666666667,15,0.0,0.02,10000,20260806,15,150
unverified_failure_rate,p0,B0_NAIVE_RETRY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,1,150,0.006666666666666667,15,0.0,0.02,10000,20260806,15,150
state_corruption_rate,p0,B0_NAIVE_RETRY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p0,B0_NAIVE_RETRY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
undetected_duplicate_rate,p0,B1_LEASE_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,27,150,0.18,15,0.12,0.24666666666666667,10000,20260806,15,150
known_ambiguity_rate,p0,B1_LEASE_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,p0,B1_LEASE_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
unverified_failure_rate,p0,B1_LEASE_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
state_corruption_rate,p0,B1_LEASE_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p0,B1_LEASE_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
undetected_duplicate_rate,p0,B2_CAS_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,20,150,0.13333333333333333,15,0.08,0.19333333333333333,10000,20260806,15,150
known_ambiguity_rate,p0,B2_CAS_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,p0,B2_CAS_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,1,150,0.006666666666666667,15,0.0,0.02,10000,20260806,15,150
unverified_failure_rate,p0,B2_CAS_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,1,150,0.006666666666666667,15,0.0,0.02,10000,20260806,15,150
state_corruption_rate,p0,B2_CAS_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p0,B2_CAS_ONLY,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
undetected_duplicate_rate,p0,B3_INTENT_NO_BARRIER,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
known_ambiguity_rate,p0,B3_INTENT_NO_BARRIER,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,p0,B3_INTENT_NO_BARRIER,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
unverified_failure_rate,p0,B3_INTENT_NO_BARRIER,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
state_corruption_rate,p0,B3_INTENT_NO_BARRIER,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p0,B3_INTENT_NO_BARRIER,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,15,0.0,0.0,0,20260806,15,0
undetected_duplicate_rate,p0,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
known_ambiguity_rate,p0,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,p0,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,22,150,0.14666666666666667,15,0.07333333333333333,0.23333333333333334,10000,20260806,15,150
unverified_failure_rate,p0,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,31,150,0.20666666666666667,15,0.12666666666666668,0.29333333333333333,10000,20260806,15,150
state_corruption_rate,p0,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p0,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
undetected_duplicate_rate,p0,B4_DURABLE_WORKFLOW,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,24,150,0.16,15,0.1,0.23333333333333334,10000,20260806,15,150
known_ambiguity_rate,p0,B4_DURABLE_WORKFLOW,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,p0,B4_DURABLE_WORKFLOW,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,1,150,0.006666666666666667,15,0.0,0.02,10000,20260806,15,150
unverified_failure_rate,p0,B4_DURABLE_WORKFLOW,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,1,150,0.006666666666666667,15,0.0,0.02,10000,20260806,15,150
state_corruption_rate,p0,B4_DURABLE_WORKFLOW,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p0,B4_DURABLE_WORKFLOW,none,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
