regime,system,crash_point,response_class,readback_keying,runs
crashed,AEP_FULL,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,15
crashed,AEP_FULL,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,15
crashed,AEP_FULL,after_intent_before_barrier,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,15
crashed,AEP_FULL,after_intent_before_barrier,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,15
crashed,AEP_FULL,after_resolution_before_barrier,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,15
crashed,AEP_FULL,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,15
crashed,AEP_FULL,after_response_before_resolution,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,15
crashed,AEP_FULL,after_response_before_resolution,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,15
crashed,AEP_FULL,before_intent_write,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,15
crashed,AEP_FULL,before_intent_write,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,15
crashed,AEP_FULL,mid_dispatch,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,15
crashed,AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,15
