metric,regime,system,crash_point,response_class,readback_keying,successes,total,rate,runs,ci_low,ci_high,resamples,bootstrap_seed,clusters,observations
undetected_duplicate_rate,crashed,AEP_FULL,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
known_ambiguity_rate,crashed,AEP_FULL,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,crashed,AEP_FULL,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
unverified_failure_rate,crashed,AEP_FULL,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
state_corruption_rate,crashed,AEP_FULL,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,crashed,AEP_FULL,after_barrier_before_dispatch,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,150,150,1.0,15,1.0,1.0,10000,20260806,15,150
undetected_duplicate_rate,crashed,AEP_FULL,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
known_ambiguity_rate,crashed,AEP_FULL,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,148,150,0.9866666666666667,15,0.96,1.0,10000,20260806,15,150
lost_effect_rate,crashed,AEP_FULL,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
unverified_failure_rate,crashed,AEP_FULL,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
state_corruption_rate,crashed,AEP_FULL,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,crashed,AEP_FULL,after_barrier_before_dispatch,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,148,148,1.0,15,1.0,1.0,10000,20260806,15,148
undetected_duplicate_rate,crashed,AEP_FULL,after_intent_before_barrier,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
known_ambiguity_rate,crashed,AEP_FULL,after_intent_before_barrier,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,crashed,AEP_FULL,after_intent_before_barrier,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
unverified_failure_rate,crashed,AEP_FULL,after_intent_before_barrier,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
state_corruption_rate,crashed,AEP_FULL,after_intent_before_barrier,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,crashed,AEP_FULL,after_intent_before_barrier,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,150,150,1.0,15,1.0,1.0,10000,20260806,15,150
undetected_duplicate_rate,crashed,AEP_FULL,after_intent_before_barrier,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
known_ambiguity_rate,crashed,AEP_FULL,after_intent_before_barrier,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,150,150,1.0,15,1.0,1.0,10000,20260806,15,150
lost_effect_rate,crashed,AEP_FULL,after_intent_before_barrier,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
unverified_failure_rate,crashed,AEP_FULL,after_intent_before_barrier,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
state_corruption_rate,crashed,AEP_FULL,after_intent_before_barrier,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,crashed,AEP_FULL,after_intent_before_barrier,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,150,150,1.0,15,1.0,1.0,10000,20260806,15,150
undetected_duplicate_rate,crashed,AEP_FULL,after_resolution_before_barrier,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
known_ambiguity_rate,crashed,AEP_FULL,after_resolution_before_barrier,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,crashed,AEP_FULL,after_resolution_before_barrier,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
unverified_failure_rate,crashed,AEP_FULL,after_resolution_before_barrier,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
state_corruption_rate,crashed,AEP_FULL,after_resolution_before_barrier,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,crashed,AEP_FULL,after_resolution_before_barrier,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,148,148,1.0,15,1.0,1.0,10000,20260806,15,148
undetected_duplicate_rate,crashed,AEP_FULL,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
known_ambiguity_rate,crashed,AEP_FULL,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,5,150,0.03333333333333333,15,0.0,0.07333333333333333,10000,20260806,15,150
lost_effect_rate,crashed,AEP_FULL,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
unverified_failure_rate,crashed,AEP_FULL,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
state_corruption_rate,crashed,AEP_FULL,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,crashed,AEP_FULL,after_resolution_before_barrier,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,146,146,1.0,15,1.0,1.0,10000,20260806,15,146
undetected_duplicate_rate,crashed,AEP_FULL,after_response_before_resolution,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
known_ambiguity_rate,crashed,AEP_FULL,after_response_before_resolution,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,crashed,AEP_FULL,after_response_before_resolution,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
unverified_failure_rate,crashed,AEP_FULL,after_response_before_resolution,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
state_corruption_rate,crashed,AEP_FULL,after_response_before_resolution,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,crashed,AEP_FULL,after_response_before_resolution,AUTHORITATIVE_READBACK,ORACLE_FINGERPRINT,150,150,1.0,15,1.0,1.0,10000,20260806,15,150
undetected_duplicate_rate,crashed,AEP_FULL,after_response_before_resolution,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
known_ambiguity_rate,crashed,AEP_FULL,after_response_before_resolution,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,7,150,0.04666666666666667,15,0.02,0.07333333333333333,10000,20260806,15,150
lost_effect_rate,crashed,AEP_FULL,after_response_before_resolution,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
unverified_failure_rate,crashed,AEP_FULL,after_response_before_resolution,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
state_corruption_rate,crashed,AEP_FULL,after_response_before_resolution,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,crashed,AEP_FULL,after_response_before_resolution,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,150,150,1.0,15,1.0,1.0,10000,20260806,15,150
