run_id,regime,system,crash_point,endpoint,response_class,readback_keying,execution_id,outcome_class,status,applied_effects,crashed,dispatch_attempts,step_latency_ms,recovery_latency_ms,undetected_duplicate,lost_effect,redis_kill_latency_ms,durability_ack_observed
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r0,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,e5a6bb27-6f88-49d1-a673-e6515528ac17,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,149001.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r0,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,32edaa7f-580c-4caa-8874-15ac68720a2d,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,143988.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r0,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,e622891a-4ece-4fd7-9a57-c90185d845e1,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,139981.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r0,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,9a4c150a-f7ee-4b68-be80-4f4035a394fd,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,135066.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r0,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,19b33bf3-0df3-4f4e-adac-5033ff82a3a2,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,130988.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r0,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,70dce3fa-7be6-4b49-a9af-8dadacad8c44,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,149018.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r0,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,a3079096-c562-474c-95c2-b33f0c758149,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,144005.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r0,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,8a50ecd0-c6eb-44b9-b11a-cb70c50bd3a3,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,139997.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r0,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,548af1bc-b23f-45ce-afca-f550ab5d0fba,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,135080.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r0,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,eab048c2-6f02-4d89-bea4-a133b0a3254a,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,131003.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r1,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,fe66e9e8-ce0d-4974-9be3-c108fe35e243,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,150678.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r1,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,7a9fa4c3-2d91-4dc6-86c0-72192a81db12,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,146664.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r1,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,8b3f573b-dd93-47f9-b0c4-5d7b84e01d28,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,142747.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r1,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,8d7dae97-a192-4b60-b20b-11cc2da88c2c,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,138738.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r1,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,f8731589-9f2b-4fae-aa5b-d4347ad87acf,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,131800.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r1,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,b63d56aa-1da9-45e8-be63-6a82e1b07713,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,150686.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r1,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,880b20a7-06b0-4e2b-8256-b98961610385,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,146675.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r1,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,e8556897-ac0b-490f-9e5a-740bf2e64aaf,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,142755.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r1,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,c6ee8048-76a9-4c20-95ea-6267e9f0a939,DECLARED_AMBIGUOUS,PERMANENTLY_AMBIGUOUS,0,1,0,,138750.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r1,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,d1db9c39-577d-4f84-8c7c-add98293ff50,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,131810.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r10,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,b9fbb425-03a5-47ef-bf1f-056a95b2a63b,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,151625.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r10,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,d219339e-fa35-4194-8d3f-3bb7d7ac1b0e,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,144655.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r10,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,52a2c40a-9f0d-44a2-820a-5a04b5bd582c,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,140642.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r10,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,ef32a817-a804-4cad-bd7d-3ef535b101e5,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,135723.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r10,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,c9d7159a-6a0f-439e-a056-979c307cc37e,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,131609.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r10,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,9456d046-2db4-408d-b66e-33924c9a8a85,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,151632.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r10,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,f6b11b4d-4961-4d6e-b0ea-8e51cba13307,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,144664.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r10,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,fe4a5e2a-2374-4707-82c4-a85204b98141,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,140650.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r10,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,890680fc-d50d-4a8e-adf6-fc7d4c12d63f,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,135731.0,0,0,,1
aep_full-after_barrier_before_dispatch-notifications-dc14659f-r10,crashed,AEP_FULL,after_barrier_before_dispatch,notifications,POSITIVE_ONLY_READBACK,ORACLE_FINGERPRINT,a0d38269-c77a-42b2-bec7-da0eda3dcad0,DECLARED_AMBIGUOUS,FIRED_UNCONFIRMED,0,1,0,,131616.0,0,0,,1
