regime,system,crash_point,response_class,readback_keying,runs
p30,AEP_FULL,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
p30,AEP_FULL,mid_dispatch,NO_READBACK,CALLER_REFERENCE,15
p30,AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,15
p30,B0_NAIVE_RETRY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
p30,B0_NAIVE_RETRY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,15
p30,B0_NAIVE_RETRY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,15
p30,B1_LEASE_ONLY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
p30,B1_LEASE_ONLY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,15
p30,B1_LEASE_ONLY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,15
p30,B2_CAS_ONLY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
p30,B2_CAS_ONLY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,15
p30,B2_CAS_ONLY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,15
p30,B3_INTENT_NO_BARRIER,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
p30,B3_INTENT_NO_BARRIER,mid_dispatch,NO_READBACK,CALLER_REFERENCE,15
p30,B3_INTENT_NO_BARRIER,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,15
p30,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
p30,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,mid_dispatch,NO_READBACK,CALLER_REFERENCE,15
p30,B4B_DURABLE_WORKFLOW_AT_MOST_ONCE,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,15
p30,B4_DURABLE_WORKFLOW,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,15
p30,B4_DURABLE_WORKFLOW,mid_dispatch,NO_READBACK,CALLER_REFERENCE,15
p30,B4_DURABLE_WORKFLOW,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,15
