metric,regime,system,crash_point,response_class,readback_keying,successes,total,rate,runs,ci_low,ci_high,resamples,bootstrap_seed,clusters,observations
undetected_duplicate_rate,p30,AEP_FULL,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
known_ambiguity_rate,p30,AEP_FULL,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,p30,AEP_FULL,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
unverified_failure_rate,p30,AEP_FULL,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
state_corruption_rate,p30,AEP_FULL,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p30,AEP_FULL,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,48,48,1.0,15,1.0,1.0,10000,20260806,15,48
undetected_duplicate_rate,p30,AEP_FULL,mid_dispatch,NO_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
known_ambiguity_rate,p30,AEP_FULL,mid_dispatch,NO_READBACK,CALLER_REFERENCE,70,150,0.4666666666666667,15,0.3933333333333333,0.5466666666666666,10000,20260806,15,150
lost_effect_rate,p30,AEP_FULL,mid_dispatch,NO_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
unverified_failure_rate,p30,AEP_FULL,mid_dispatch,NO_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
state_corruption_rate,p30,AEP_FULL,mid_dispatch,NO_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p30,AEP_FULL,mid_dispatch,NO_READBACK,CALLER_REFERENCE,56,56,1.0,15,1.0,1.0,10000,20260806,15,56
undetected_duplicate_rate,p30,AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
known_ambiguity_rate,p30,AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,18,150,0.12,15,0.06,0.19333333333333333,10000,20260806,15,150
lost_effect_rate,p30,AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
unverified_failure_rate,p30,AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
state_corruption_rate,p30,AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p30,AEP_FULL,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,51,51,1.0,15,1.0,1.0,10000,20260806,15,51
undetected_duplicate_rate,p30,B0_NAIVE_RETRY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,46,150,0.30666666666666664,15,0.26666666666666666,0.3466666666666667,10000,20260806,15,150
known_ambiguity_rate,p30,B0_NAIVE_RETRY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,p30,B0_NAIVE_RETRY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
unverified_failure_rate,p30,B0_NAIVE_RETRY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
state_corruption_rate,p30,B0_NAIVE_RETRY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p30,B0_NAIVE_RETRY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
undetected_duplicate_rate,p30,B0_NAIVE_RETRY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,55,150,0.36666666666666664,15,0.2733333333333333,0.46,10000,20260806,15,150
known_ambiguity_rate,p30,B0_NAIVE_RETRY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,p30,B0_NAIVE_RETRY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,1,150,0.006666666666666667,15,0.0,0.02,10000,20260806,15,150
unverified_failure_rate,p30,B0_NAIVE_RETRY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,1,150,0.006666666666666667,15,0.0,0.02,10000,20260806,15,150
state_corruption_rate,p30,B0_NAIVE_RETRY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p30,B0_NAIVE_RETRY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
undetected_duplicate_rate,p30,B0_NAIVE_RETRY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,49,150,0.32666666666666666,15,0.2733333333333333,0.38666666666666666,10000,20260806,15,150
known_ambiguity_rate,p30,B0_NAIVE_RETRY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,p30,B0_NAIVE_RETRY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,1,150,0.006666666666666667,15,0.0,0.02,10000,20260806,15,150
unverified_failure_rate,p30,B0_NAIVE_RETRY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,1,150,0.006666666666666667,15,0.0,0.02,10000,20260806,15,150
state_corruption_rate,p30,B0_NAIVE_RETRY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p30,B0_NAIVE_RETRY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
undetected_duplicate_rate,p30,B1_LEASE_ONLY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,58,150,0.38666666666666666,15,0.3,0.47333333333333333,10000,20260806,15,150
known_ambiguity_rate,p30,B1_LEASE_ONLY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,p30,B1_LEASE_ONLY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,2,150,0.013333333333333334,15,0.0,0.04,10000,20260806,15,150
unverified_failure_rate,p30,B1_LEASE_ONLY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,2,150,0.013333333333333334,15,0.0,0.04,10000,20260806,15,150
state_corruption_rate,p30,B1_LEASE_ONLY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p30,B1_LEASE_ONLY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
undetected_duplicate_rate,p30,B1_LEASE_ONLY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,59,150,0.3933333333333333,15,0.32,0.47333333333333333,10000,20260806,15,150
known_ambiguity_rate,p30,B1_LEASE_ONLY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,p30,B1_LEASE_ONLY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,2,150,0.013333333333333334,15,0.0,0.03333333333333333,10000,20260806,15,150
unverified_failure_rate,p30,B1_LEASE_ONLY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,2,150,0.013333333333333334,15,0.0,0.03333333333333333,10000,20260806,15,150
state_corruption_rate,p30,B1_LEASE_ONLY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p30,B1_LEASE_ONLY,mid_dispatch,NO_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
undetected_duplicate_rate,p30,B1_LEASE_ONLY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,46,150,0.30666666666666664,15,0.23333333333333334,0.38666666666666666,10000,20260806,15,150
known_ambiguity_rate,p30,B1_LEASE_ONLY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,p30,B1_LEASE_ONLY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,1,150,0.006666666666666667,15,0.0,0.02,10000,20260806,15,150
unverified_failure_rate,p30,B1_LEASE_ONLY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,1,150,0.006666666666666667,15,0.0,0.02,10000,20260806,15,150
state_corruption_rate,p30,B1_LEASE_ONLY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
recovery_success_rate,p30,B1_LEASE_ONLY,mid_dispatch,POSITIVE_ONLY_READBACK,CALLER_REFERENCE,0,0,0.0,0,0.0,0.0,0,20260806,0,0
undetected_duplicate_rate,p30,B2_CAS_ONLY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,46,150,0.30666666666666664,15,0.23333333333333334,0.37333333333333335,10000,20260806,15,150
known_ambiguity_rate,p30,B2_CAS_ONLY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
lost_effect_rate,p30,B2_CAS_ONLY,mid_dispatch,AUTHORITATIVE_READBACK,CALLER_REFERENCE,0,150,0.0,15,0.0,0.0,10000,20260806,15,150
